DestinationMacAddr,SourceMacAddr,SourceIPAddr,DestinationIPAddr,SourcePort,DestinationPort
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62109
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62110,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62110,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62109
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62109,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62109
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62109
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62110,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62110,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62110,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62110,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62110,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62110,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62110,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62110,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62110,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62110
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62110,443
